0|77.8|75.2|80.4
1|77.4|74.7|79.9
5|73.5|70.8|76.0
10|68.5|65.9|71.0
15|63.6|61.0|66.1
20|58.8|56.2|61.2
25|54.1|51.6|56.4
30|49.3|47.0|51.5
35|44.6|42.3|46.7
40|39.9|37.7|41.9
45|35.3|33.2|37.3
50|30.9|28.9|32.7
55|26.7|24.8|28.3
60|22.6|20.8|24.0
65|18.7|17.2|20.0
70|15.2|13.8|16.3
75|12.0|10.8|12.8
80|9.2|8.2|9.7
85|6.8|6.1|7.2
90|5.0|4.4|5.2
95|3.6|3.2|3.7
100|2.6|2.3|2.6
